조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2015,경기도 김포시,엽채류,봄배추,3000,6,18000
2015,경기도 남양주시,조미채소계,대파,13320,15,32930
2015,경기도 포천시,조미채소계,마늘,11276,3.8,14100
2015,경기도 용인시,엽채류,상추,318618,21.7,736125
2015,경기도 하남시,과채류계,오이,8034,21.8,59250
2015,경기도 성남시,엽채류,상추,83843,63.3,218847
2015,경기도 김포시,과채류계,풋고추,10000,7.1,23700
2015,경기도 성남시,양채류계,신선초,17864,15.9,46490
2015,경기도 파주시,엽채류,부추,29000,10.1,98000
2015,경기도 안양시,과채류계,오이,8600,19.5,27500
2015,경기도 안성시,엽채류,미나리,6148,8.7,17600
