year,purpose,model,type,district,size,value
2014,purpose,saloon,normal,Gwangju,large,77.3
2014,purpose,saloon,normal,Daejeon,light,54.6
2014,purpose,saloon,normal,Daejeon,small,68.6
2014,purpose,saloon,normal,Daejeon,mid,118.2
2014,purpose,saloon,normal,Daejeon,large,85.2
2014,purpose,saloon,normal,Ulsan,light,49.8
2014,purpose,saloon,normal,Ulsan,small,46.8
2014,purpose,saloon,normal,Ulsan,mid,128.4
2014,purpose,saloon,normal,Ulsan,large,115.9
2014,purpose,saloon,multipurpose,Seoul,mid,57.9
2014,purpose,saloon,multipurpose,Seoul,large,67.6
2014,purpose,saloon,multipurpose,Busan,mid,59.7
2014,purpose,saloon,multipurpose,Busan,large,72.2
2014,purpose,saloon,multipurpose,Daegu,mid,73
2014,purpose,saloon,multipurpose,Daegu,large,73.5
2014,purpose,saloon,multipurpose,Incheon,mid,70
2014,purpose,saloon,multipurpose,Incheon,large,74.8
2014,purpose,saloon,multipurpose,Gwangju,mid,68.3
2014,purpose,saloon,multipurpose,Gwangju,large,73.6
2014,purpose,saloon,multipurpose,Daejeon,mid,72.3
2014,purpose,saloon,multipurpose,Daejeon,large,74.1
2014,purpose,saloon,multipurpose,Ulsan,mid,51.4
2014,purpose,saloon,multipurpose,Ulsan,large,75.5
2014,purpose,van,normal,Seoul,small,25.5
2014,purpose,van,normal,Seoul,mid,106.4
2014,purpose,van,normal,Seoul,large,215.4
2014,purpose,van,normal,Busan,small,43.3
2014,purpose,van,normal,Busan,mid,109.5
2014,purpose,van,normal,Busan,large,218.8
2014,purpose,van,normal,Daegu,small,55.6
2014,purpose,van,normal,Daegu,mid,92.8
2014,purpose,van,normal,Daegu,large,221.9
2014,purpose,van,normal,Incheon,small,48.4
2014,purpose,van,normal,Incheon,mid,91.9
2014,purpose,van,normal,Incheon,large,224.7
2014,purpose,van,normal,Gwangju,small,51.4
2014,purpose,van,normal,Gwangju,mid,94.8
2014,purpose,van,normal,Gwangju,large,190
2014,purpose,van,normal,Daejeon,small,0
2014,purpose,van,normal,Daejeon,mid,105.1
2014,purpose,van,normal,Daejeon,large,199
2014,purpose,van,normal,Ulsan,small,0
2014,purpose,van,normal,Ulsan,mid,119.5
2014,purpose,van,normal,Ulsan,large,222.3
2014,purpose,lorry,normal,Seoul,small,91.2
2014,purpose,lorry,normal,Seoul,mid,109.9
2014,purpose,lorry,normal,Seoul,large,176.9
2014,purpose,lorry,normal,Busan,small,78.6
2014,purpose,lorry,normal,Busan,mid,122.5
2014,purpose,lorry,normal,Busan,large,190.3
2014,purpose,lorry,normal,Daegu,small,85.3
2014,purpose,lorry,normal,Daegu,mid,131.8
2014,purpose,lorry,normal,Daegu,large,202.4
2014,purpose,lorry,normal,Incheon,small,101.3
2014,purpose,lorry,normal,Incheon,mid,122.2
